country;latitude;longitude;time;weather_code;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;daylight_duration;sunshine_duration;uv_index_max;uv_index_clear_sky_max;precipitation_hours;wind_speed_10m_max;wind_gusts_10m_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum
Andorra;42.55;1.6;2025-02-01;3;-3.7;-9.0;-8.2;-14.7;2025-02-01T11:07:00+03:00;2025-02-01T21:07:00+03:00;35980.59;31056.0;3.6;3.6;0.0;16.0;42.5;0.0;0.0;0.0;0.0
Andorra;42.55;1.6;2025-02-04;3;0.3;-6.8;-4.4;-11.5;2025-02-04T11:03:00+03:00;2025-02-04T21:10:00+03:00;36419.08;32845.29;3.3;3.3;0.0;12.0;49.3;0.0;0.0;0.0;0.0
United Arab Emirates;23.38;53.88;2025-02-03;2;21.9;12.8;19.5;10.6;2025-02-03T10:03:00+03:00;2025-02-03T21:12:00+03:00;40144.86;37461.79;5.85;5.85;0.0;19.5;28.4;0.0;0.0;0.0;0.0
Afghanistan;33.88;67.75;2025-02-02;3;-5.4;-11.5;-9.7;-15.8;2025-02-02T09:54:00+03:00;2025-02-02T20:30:00+03:00;38127.06;34830.25;5.3;5.3;0.0;15.8;25.2;0.0;0.0;0.0;0.0
Afghanistan;33.88;67.75;2025-02-04;85;-8.1;-16.2;-13.0;-21.3;2025-02-04T09:53:00+03:00;2025-02-04T20:32:00+03:00;38338.29;34819.02;5.0;5.0;15.0;11.3;20.5;3.2;0.0;0.0;0.84
Antigua and Barbuda;17.12;-61.75;2025-02-01;2;26.8;24.5;27.8;25.5;2025-02-01T09:38:00+03:00;2025-02-01T21:02:00+03:00;41058.93;38435.65;7.35;7.35;3.0;28.6;51.5;0.6;0.0;0.6;0.0
Albania;41.12;20.12;2025-01-29;80;16.1;8.7;15.2;6.7;2025-01-29T09:52:00+03:00;2025-01-29T19:52:00+03:00;35960.77;18000.0;2.65;3.25;12.0;12.0;26.6;4.2;2.1;2.1;0.0
Albania;41.12;20.12;2025-01-31;3;14.2;6.0;12.3;3.5;2025-01-31T09:51:00+03:00;2025-01-31T19:54:00+03:00;36222.1;29515.97;3.25;3.25;2.0;6.6;15.8;0.2;0.0;0.2;0.0
Albania;41.12;20.12;2025-02-02;61;12.7;6.4;9.8;3.5;2025-02-02T09:49:00+03:00;2025-02-02T19:57:00+03:00;36493.0;3431.04;2.7;3.35;12.0;12.7;17.6;3.3;1.5;1.5;0.0
Albania;41.12;20.12;2025-02-04;80;11.5;5.1;9.1;3.3;2025-02-04T09:46:00+03:00;2025-02-04T19:59:00+03:00;36772.05;19129.81;3.25;3.25;9.0;7.2;13.0;2.7;0.9;1.2;0.0
Netherlands Antilles;12.25;-69.12;2025-01-31;3;29.3;26.2;30.4;26.8;2025-01-31T10:01:00+03:00;2025-01-31T21:38:00+03:00;41779.65;37540.91;7.85;7.85;1.0;33.5;54.4;0.1;0.0;0.1;0.0
Argentina;-38.38;-63.62;2025-01-30;0;37.1;21.4;34.4;18.8;2025-01-30T09:25:00+03:00;2025-01-30T23:30:00+03:00;50689.67;46928.88;8.9;8.9;0.0;26.0;44.6;0.0;0.0;0.0;0.0
Argentina;-38.38;-63.62;2025-02-03;3;34.2;17.9;32.9;18.6;2025-02-03T09:30:00+03:00;2025-02-03T23:26:00+03:00;50188.7;42527.5;8.55;8.55;0.0;22.7;42.5;0.0;0.0;0.0;0.0
American Samoa;-14.25;-170.12;2025-01-31;95;29.5;27.9;34.7;30.1;2025-01-31T09:12:00+03:00;2025-01-31T21:55:00+03:00;45786.36;41786.44;9.85;9.85;9.0;25.0;33.1;5.4;0.0;5.4;0.0
American Samoa;-14.25;-170.12;2025-02-03;80;28.8;27.9;36.5;32.9;2025-02-03T09:13:00+03:00;2025-02-03T21:54:00+03:00;45666.66;42669.2;9.35;9.35;12.0;11.1;18.7;2.8;0.0;2.8;0.0
Australia;-25.25;133.75;2025-01-31;0;39.5;24.1;37.1;20.2;2025-01-31T09:10:00+03:00;2025-01-31T22:26:00+03:00;47737.89;44940.43;9.5;9.5;0.0;24.6;41.0;0.0;0.0;0.0;0.0
Australia;-25.25;133.75;2025-02-02;3;43.2;29.2;43.1;26.1;2025-02-02T09:12:00+03:00;2025-02-02T22:25:00+03:00;47592.71;44804.47;9.4;9.4;0.0;22.9;38.2;0.0;0.0;0.0;0.0
Australia;-25.25;133.75;2025-02-03;2;42.9;29.1;43.7;28.8;2025-02-03T09:12:00+03:00;2025-02-03T22:24:00+03:00;47518.32;44734.71;8.95;8.95;0.0;22.0;42.1;0.0;0.0;0.0;0.0
Australia;-25.25;133.75;2025-02-04;2;41.6;28.8;41.1;28.6;2025-02-04T09:13:00+03:00;2025-02-04T22:24:00+03:00;47442.84;44663.84;8.65;8.95;3.0;30.8;56.9;0.3;0.0;0.3;0.0
Aruba;12.5;-70.0;2025-01-28;2;29.3;26.1;31.1;27.7;2025-01-28T10:05:00+03:00;2025-01-28T21:40:00+03:00;41646.65;37512.35;7.6;7.65;0.0;31.1;52.6;0.0;0.0;0.0;0.0
Azerbaijan;40.12;47.56;2025-02-03;45;12.3;3.2;10.0;1.4;2025-02-03T10:56:00+03:00;2025-02-03T21:10:00+03:00;36858.23;24028.76;2.9;3.2;0.0;5.6;11.2;0.0;0.0;0.0;0.0
Bosnia and Herzegovina;43.92;17.68;2025-01-29;3;3.6;0.4;0.0;-4.0;2025-01-29T10:09:00+03:00;2025-01-29T19:55:00+03:00;35161.69;24114.43;2.5;2.7;0.0;17.8;38.9;0.0;0.0;0.0;0.0
Bosnia and Herzegovina;43.92;17.68;2025-01-30;85;2.6;-1.3;-0.6;-4.9;2025-01-30T10:08:00+03:00;2025-01-30T19:56:00+03:00;35305.59;6074.66;2.4;2.6;2.0;8.7;31.3;0.4;0.0;0.0;0.21
Bangladesh;23.62;90.38;2025-02-01;45;28.1;18.6;30.6;21.5;2025-02-01T09:38:00+03:00;2025-02-01T20:45:00+03:00;39964.11;30769.02;6.2;6.2;0.0;8.9;21.6;0.0;0.0;0.0;0.0
Burkina Faso;12.25;-1.5;2025-02-01;2;32.5;18.5;29.2;14.9;2025-02-01T09:31:00+03:00;2025-02-01T21:07:00+03:00;41806.34;39231.58;6.85;7.05;0.0;17.0;37.4;0.0;0.0;0.0;0.0
Burkina Faso;12.25;-1.5;2025-02-03;3;34.0;19.9;30.5;16.0;2025-02-03T09:30:00+03:00;2025-02-03T21:08:00+03:00;41871.98;37651.0;5.55;6.55;0.0;15.5;36.0;0.0;0.0;0.0;0.0
Bulgaria;42.75;25.5;2025-01-30;3;9.9;6.2;7.1;3.7;2025-01-30T10:34:00+03:00;2025-01-30T20:28:00+03:00;35637.4;138.39;1.5;2.7;0.0;14.6;57.2;0.0;0.0;0.0;0.0
Benin;9.25;2.38;2025-02-03;3;37.3;22.8;37.6;26.7;2025-02-03T10:11:00+03:00;2025-02-03T21:56:00+03:00;42305.45;39768.47;6.5;6.7;0.0;10.7;20.5;0.0;0.0;0.0;0.0
Benin;9.25;2.38;2025-02-04;1;38.5;20.9;35.8;19.9;2025-02-04T10:11:00+03:00;2025-02-04T21:57:00+03:00;42330.45;39797.24;6.75;6.75;0.0;20.0;37.1;0.0;0.0;0.0;0.0
Brunei;4.62;114.62;2025-02-03;45;29.9;24.0;35.6;29.7;2025-02-03T09:37:00+03:00;2025-02-03T21:33:00+03:00;42960.69;27253.03;5.75;8.5;6.0;10.0;22.0;0.9;0.0;0.9;0.0
Brunei;4.62;114.62;2025-02-04;95;29.7;24.5;36.4;30.3;2025-02-04T09:37:00+03:00;2025-02-04T21:33:00+03:00;42972.73;34219.02;3.05;8.5;12.0;10.0;23.4;8.7;0.0;8.7;0.0
Brazil;-14.25;-51.88;2025-01-28;80;34.7;24.3;41.3;29.3;2025-01-28T08:17:00+03:00;2025-01-28T21:03:00+03:00;45910.44;42078.82;9.5;9.5;7.0;4.7;14.4;2.6;0.0;2.6;0.0
Brazil;-14.25;-51.88;2025-01-30;95;29.8;23.9;35.1;29.2;2025-01-30T08:18:00+03:00;2025-01-30T21:02:00+03:00;45836.05;6510.43;8.55;9.5;17.0;8.0;26.6;7.9;0.0;7.9;0.0
Brazil;-14.25;-51.88;2025-02-03;95;26.5;23.2;31.3;27.7;2025-02-03T08:20:00+03:00;2025-02-03T21:01:00+03:00;45678.53;4921.72;1.6;8.7;21.0;9.2;24.1;9.6;0.3;9.0;0.0
Bahamas;25.04;-77.39;2025-02-03;3;23.8;23.4;26.4;24.9;2025-02-03T09:50:00+03:00;2025-02-03T20:55:00+03:00;39893.88;37136.69;5.75;5.75;0.0;20.1;23.4;0.0;0.0;0.0;0.0
Bhutan;27.38;90.5;2025-01-30;53;6.7;1.8;3.8;-0.8;2025-01-30T09:45:00+03:00;2025-01-30T20:37:00+03:00;39142.28;25924.66;3.3;5.7;7.0;10.8;33.8;1.2;1.0;0.0;0.0
Bhutan;27.38;90.5;2025-01-31;51;6.5;3.1;3.7;1.2;2025-01-31T09:44:00+03:00;2025-01-31T20:38:00+03:00;39218.25;18397.92;4.45;5.9;6.0;10.6;34.2;0.6;0.3;0.3;0.0
Bouvet Island;-54.38;3.38;2025-01-29;85;-0.7;-1.4;-7.0;-10.8;2025-01-29T07:06:00+03:00;2025-01-29T22:52:00+03:00;56787.55;44016.3;6.75;6.75;5.0;50.0;74.5;2.1;0.3;0.0;1.26
Bouvet Island;-54.38;3.38;2025-01-30;77;0.4;-1.0;-5.6;-10.7;2025-01-30T07:08:00+03:00;2025-01-30T22:51:00+03:00;56558.17;3542.36;2.85;6.65;15.0;50.7;75.2;7.9;3.9;0.0;2.73
Bouvet Island;-54.38;3.38;2025-02-04;3;-0.9;-1.7;-8.3;-11.9;2025-02-04T07:18:00+03:00;2025-02-04T22:41:00+03:00;55361.52;50626.53;5.35;6.2;3.0;51.7;78.1;0.3;0.0;0.0;0.0
Botswana;-22.38;24.62;2025-01-30;1;34.3;19.4;35.6;18.7;2025-01-30T09:01:00+03:00;2025-01-30T22:08:00+03:00;47248.25;44516.16;9.95;9.95;0.0;19.8;32.0;0.0;0.0;0.0;0.0
Botswana;-22.38;24.62;2025-02-01;3;36.2;25.2;36.8;23.7;2025-02-01T09:02:00+03:00;2025-02-01T22:07:00+03:00;47123.32;42670.39;9.5;9.9;0.0;18.7;28.4;0.0;0.0;0.0;0.0
Belarus;53.71;27.94;2025-02-01;73;4.1;-2.3;0.8;-7.0;2025-02-01T11:53:00+03:00;2025-02-01T20:49:00+03:00;32164.82;80.01;0.7;1.25;12.0;26.1;55.8;3.3;1.65;0.0;1.15
Belarus;53.71;27.94;2025-02-02;3;-1.1;-2.8;-5.4;-7.2;2025-02-02T11:51:00+03:00;2025-02-02T20:51:00+03:00;32388.79;19499.24;0.95;1.4;0.0;14.2;40.0;0.0;0.0;0.0;0.0
Belarus;53.71;27.94;2025-02-04;3;-2.4;-5.4;-7.3;-9.7;2025-02-04T11:48:00+03:00;2025-02-04T20:55:00+03:00;32845.06;15546.09;1.1;1.4;0.0;13.0;28.8;0.0;0.0;0.0;0.0
Belize;17.25;-88.5;2025-01-30;80;27.9;22.9;31.5;27.2;2025-01-30T09:26:00+03:00;2025-01-30T20:48:00+03:00;40951.33;30501.52;7.15;7.15;12.0;13.4;42.1;3.4;0.0;3.4;0.0
Belize;17.25;-88.5;2025-02-02;80;29.6;21.4;32.8;25.6;2025-02-02T09:25:00+03:00;2025-02-02T20:50:00+03:00;41090.17;37523.08;7.35;7.4;7.0;11.1;28.8;1.5;0.0;1.5;0.0
Canada;56.12;-106.38;2025-01-28;85;1.4;-6.5;-4.6;-11.5;2025-01-28T12:07:00+03:00;2025-01-28T20:29:00+03:00;30163.0;733.95;1.05;1.3;2.0;29.8;67.0;0.2;0.0;0.0;0.07
Cocos [Keeling] Islands;-12.12;96.88;2025-01-30;95;27.7;27.2;34.6;31.9;2025-01-30T08:56:00+03:00;2025-01-30T21:34:00+03:00;45506.09;33579.12;9.8;9.8;24.0;13.2;18.4;19.6;0.0;19.6;0.0
Cocos [Keeling] Islands;-12.12;96.88;2025-02-01;3;28.9;27.6;32.5;30.9;2025-02-01T08:57:00+03:00;2025-02-01T21:34:00+03:00;45440.99;42194.69;2.0;9.75;12.0;34.5;46.4;1.2;0.0;1.2;0.0
Cocos [Keeling] Islands;-12.12;96.88;2025-02-04;95;28.7;28.1;31.8;30.7;2025-02-04T08:58:00+03:00;2025-02-04T21:34:00+03:00;45339.12;34771.62;9.2;9.3;24.0;31.6;42.1;19.0;0.0;19.0;0.0
Congo [DRC];-4.0;21.75;2025-02-02;3;31.3;23.0;35.9;27.3;2025-02-02T09:38:00+03:00;2025-02-02T21:54:00+03:00;44195.5;25297.97;8.6;9.3;6.0;4.0;15.1;1.8;0.0;1.8;0.0
Congo [DRC];-4.0;21.75;2025-02-03;3;31.1;22.6;34.9;27.2;2025-02-03T09:38:00+03:00;2025-02-03T21:54:00+03:00;44184.02;17244.31;6.3;9.05;0.0;6.4;17.3;0.0;0.0;0.0;0.0
Congo [DRC];-4.0;21.75;2025-02-04;3;32.7;23.2;35.9;27.6;2025-02-04T09:38:00+03:00;2025-02-04T21:54:00+03:00;44172.37;28842.56;8.2;9.05;0.0;10.8;27.7;0.0;0.0;0.0;0.0
Central African Republic;6.62;21.0;2025-01-30;3;34.8;20.0;32.9;16.3;2025-01-30T08:54:00+03:00;2025-01-30T20:44:00+03:00;42612.9;38854.02;8.25;8.25;0.0;19.4;40.0;0.0;0.0;0.0;0.0
Central African Republic;6.62;21.0;2025-02-04;2;39.1;23.9;37.4;21.5;2025-02-04T08:54:00+03:00;2025-02-04T20:45:00+03:00;42698.23;40182.29;8.05;8.15;0.0;17.1;33.8;0.0;0.0;0.0;0.0
Congo [Republic];-0.25;15.88;2025-01-31;3;34.3;23.5;40.1;27.9;2025-01-31T09:06:00+03:00;2025-01-31T21:13:00+03:00;43656.14;40755.22;8.7;9.0;0.0;8.0;20.2;0.0;0.0;0.0;0.0
Congo [Republic];-0.25;15.88;2025-02-01;3;33.3;23.6;37.8;27.5;2025-02-01T09:06:00+03:00;2025-02-01T21:13:00+03:00;43654.85;39624.33;9.05;9.1;0.0;9.6;23.0;0.0;0.0;0.0;0.0
Switzerland;46.82;8.24;2025-02-04;2;-2.2;-4.7;-6.3;-9.2;2025-02-04T10:47:00+03:00;2025-02-04T20:34:00+03:00;35249.6;31311.19;2.65;2.7;0.0;7.1;31.3;0.0;0.0;0.0;0.0
Côte d'Ivoire;7.5;-5.5;2025-01-31;3;36.9;24.7;37.6;26.7;2025-01-31T09:41:00+03:00;2025-01-31T21:29:00+03:00;42498.43;37601.55;7.45;7.45;0.0;11.9;23.0;0.0;0.0;0.0;0.0
Cook Islands;-21.25;-159.75;2025-01-29;96;25.8;24.4;30.1;27.1;2025-01-29T09:19:00+03:00;2025-01-29T22:24:00+03:00;47073.27;31454.87;9.75;9.75;21.0;20.4;27.0;14.1;0.0;14.1;0.0
Cook Islands;-21.25;-159.75;2025-01-31;95;25.2;24.6;29.0;27.3;2025-01-31T09:21:00+03:00;2025-01-31T22:23:00+03:00;46956.43;13513.07;9.75;9.75;17.0;18.4;24.5;10.8;0.0;10.8;0.0
Cook Islands;-21.25;-159.75;2025-02-01;95;25.3;24.8;30.7;28.8;2025-02-01T09:21:00+03:00;2025-02-01T22:23:00+03:00;46896.37;44072.79;9.75;9.75;15.0;7.9;14.0;5.4;0.0;5.4;0.0
Chile;-35.62;-71.5;2025-01-30;0;31.6;13.3;32.5;12.9;2025-01-30T10:02:00+03:00;2025-01-30T23:55:00+03:00;49994.88;46837.23;9.0;9.0;0.0;18.4;30.6;0.0;0.0;0.0;0.0
Chile;-35.62;-71.5;2025-02-01;0;32.7;15.5;32.7;14.9;2025-02-01T10:04:00+03:00;2025-02-01T23:54:00+03:00;49773.15;46628.5;8.95;8.95;0.0;21.5;39.2;0.0;0.0;0.0;0.0
China;35.88;104.25;2025-01-30;3;1.6;-7.9;-2.0;-11.9;2025-01-30T11:04:00+03:00;2025-01-30T21:27:00+03:00;37358.43;21153.87;2.55;3.3;0.0;9.2;15.1;0.0;0.0;0.0;0.0
China;35.88;104.25;2025-02-02;71;-3.4;-7.3;-7.1;-11.1;2025-02-02T11:02:00+03:00;2025-02-02T21:30:00+03:00;37686.61;0.0;2.4;3.5;9.0;13.9;22.0;1.5;0.0;0.0;1.05
Costa Rica;9.75;-83.88;2025-01-28;3;22.6;13.9;22.6;13.1;2025-01-28T08:57:00+03:00;2025-01-28T20:39:00+03:00;42091.18;38381.53;8.55;8.55;0.0;21.0;53.6;0.0;0.0;0.0;0.0
Costa Rica;9.75;-83.88;2025-02-01;3;19.4;16.0;18.7;15.6;2025-02-01T08:57:00+03:00;2025-02-01T20:40:00+03:00;42189.3;35460.36;8.6;8.65;0.0;19.0;51.8;0.0;0.0;0.0;0.0
Costa Rica;9.75;-83.88;2025-02-02;3;21.6;13.8;21.2;12.1;2025-02-02T08:57:00+03:00;2025-02-02T20:40:00+03:00;42215.02;39669.93;8.85;8.8;0.0;23.1;56.9;0.0;0.0;0.0;0.0
Cuba;21.5;-77.75;2025-02-02;3;30.1;21.3;32.2;24.9;2025-02-02T09:47:00+03:00;2025-02-02T21:01:00+03:00;40412.98;37696.62;6.45;6.75;0.0;13.9;31.7;0.0;0.0;0.0;0.0
Cape Verde;16.0;-24.0;2025-01-31;1;23.1;21.7;20.9;18.2;2025-01-31T10:06:00+03:00;2025-01-31T21:32:00+03:00;41187.69;36814.88;7.3;7.4;0.0;43.0;59.4;0.0;0.0;0.0;0.0
Cape Verde;16.0;-24.0;2025-02-03;3;21.9;21.0;19.1;16.6;2025-02-03T10:05:00+03:00;2025-02-03T21:34:00+03:00;41317.46;37330.71;6.75;7.25;0.0;40.6;55.8;0.0;0.0;0.0;0.0
Christmas Island;-10.5;105.75;2025-02-03;96;26.3;25.4;26.4;25.3;2025-02-03T08:54:00+03:00;2025-02-03T21:26:00+03:00;45131.54;2660.88;9.15;9.25;24.0;44.8;80.3;30.2;0.0;30.2;0.0
Cyprus;35.12;33.44;2025-01-29;3;17.7;5.5;15.4;2.9;2025-01-29T09:47:00+03:00;2025-01-29T20:11:00+03:00;37453.01;34264.07;4.1;4.1;0.0;14.1;25.2;0.0;0.0;0.0;0.0
Czech Republic;49.82;15.48;2025-02-02;77;1.0;-3.0;-2.7;-6.0;2025-02-02T10:29:00+03:00;2025-02-02T19:54:00+03:00;33913.41;20188.51;1.85;1.9;0.0;9.8;22.0;0.0;0.0;0.0;0.0
Germany;51.16;10.46;2025-01-29;80;7.7;3.9;3.3;0.7;2025-01-29T10:59:00+03:00;2025-01-29T20:03:00+03:00;32640.07;13372.86;0.95;1.65;6.0;23.4;42.1;1.7;1.6;0.0;0.0
Djibouti;11.88;42.62;2025-01-31;2;22.0;14.4;20.3;12.1;2025-01-31T09:34:00+03:00;2025-01-31T21:11:00+03:00;41828.44;39004.29;7.8;7.8;0.0;25.0;48.2;0.0;0.0;0.0;0.0
Dominica;15.25;-61.38;2025-01-30;3;24.9;21.5;26.1;22.2;2025-01-30T09:34:00+03:00;2025-01-30T21:02:00+03:00;41272.09;38390.64;7.55;7.55;0.0;17.9;63.0;0.0;0.0;0.0;0.0
Dominica;15.25;-61.38;2025-01-31;3;25.2;21.0;25.2;21.4;2025-01-31T09:34:00+03:00;2025-01-31T21:03:00+03:00;41311.81;37719.64;7.6;7.6;0.0;20.7;70.6;0.0;0.0;0.0;0.0
Dominica;15.25;-61.38;2025-02-02;3;24.1;20.7;24.3;21.5;2025-02-02T09:34:00+03:00;2025-02-02T21:04:00+03:00;41393.48;37543.93;7.6;7.65;0.0;19.4;76.3;0.0;0.0;0.0;0.0
Dominica;15.25;-61.38;2025-02-03;2;24.2;20.8;25.6;21.7;2025-02-03T09:33:00+03:00;2025-02-03T21:04:00+03:00;41435.32;38659.28;7.35;7.4;0.0;15.3;64.1;0.0;0.0;0.0;0.0
Algeria;28.0;1.7;2025-01-29;0;22.8;14.1;18.3;7.3;2025-01-29T10:41:00+03:00;2025-01-29T21:31:00+03:00;38961.66;35640.41;4.8;4.8;0.0;34.5;50.4;0.0;0.0;0.0;0.0
Algeria;28.0;1.7;2025-02-01;0;15.9;6.7;12.1;3.3;2025-02-01T10:40:00+03:00;2025-02-01T21:33:00+03:00;39196.77;35741.07;4.75;4.75;0.0;18.6;31.3;0.0;0.0;0.0;0.0
Ecuador;-1.88;-78.12;2025-02-02;3;22.8;16.4;24.2;17.8;2025-02-02T09:20:00+03:00;2025-02-02T21:31:00+03:00;43886.2;39804.1;7.8;9.75;11.0;10.4;25.9;2.3;0.0;2.3;0.0
Estonia;58.6;25.02;2025-02-01;3;2.5;-2.5;-0.4;-6.5;2025-02-01T11:25:00+03:00;2025-02-01T19:41:00+03:00;29706.32;0.0;1.0;1.0;0.0;17.4;32.8;0.0;0.0;0.0;0.0
Egypt;26.8;30.8;2025-01-29;0;19.9;10.2;15.6;6.5;2025-01-29T09:43:00+03:00;2025-01-29T20:36:00+03:00;39190.88;35556.83;4.75;4.75;0.0;23.5;39.6;0.0;0.0;0.0;0.0
Egypt;26.8;30.8;2025-01-30;3;21.5;9.8;18.4;6.3;2025-01-30T09:42:00+03:00;2025-01-30T20:37:00+03:00;39263.66;35586.55;4.8;4.8;0.0;18.7;33.1;0.0;0.0;0.0;0.0
Egypt;26.8;30.8;2025-02-04;3;21.5;11.5;17.8;9.3;2025-02-04T09:40:00+03:00;2025-02-04T20:41:00+03:00;39648.44;36833.13;4.85;4.85;0.0;17.6;27.0;0.0;0.0;0.0;0.0
Western Sahara;24.2;-12.9;2025-02-01;0;23.2;13.1;18.5;9.6;2025-02-01T11:32:00+03:00;2025-02-01T22:37:00+03:00;39878.36;36000.0;5.35;5.35;0.0;34.0;47.9;0.0;0.0;0.0;0.0
Eritrea;15.12;39.75;2025-02-01;3;29.7;24.9;32.4;29.1;2025-02-01T09:49:00+03:00;2025-02-01T21:19:00+03:00;41359.89;38784.25;7.3;7.3;0.0;12.2;19.4;0.0;0.0;0.0;0.0
Spain;40.44;-3.75;2025-01-29;80;8.8;4.2;5.9;1.4;2025-01-29T11:26:00+03:00;2025-01-29T21:29:00+03:00;36146.14;0.0;0.4;3.0;8.0;16.2;45.4;2.6;1.6;1.0;0.0
Spain;40.44;-3.75;2025-01-31;3;10.1;1.5;7.3;-1.2;2025-01-31T11:25:00+03:00;2025-01-31T21:31:00+03:00;36400.74;32477.01;3.4;3.4;0.0;5.8;17.3;0.0;0.0;0.0;0.0
Ethiopia;9.12;40.5;2025-01-29;3;27.2;17.5;25.7;16.8;2025-01-29T09:39:00+03:00;2025-01-29T21:22:00+03:00;42204.42;38873.45;8.1;8.25;0.0;22.7;41.8;0.0;0.0;0.0;0.0
Ethiopia;9.12;40.5;2025-01-30;2;27.4;16.9;25.0;15.8;2025-01-30T09:39:00+03:00;2025-01-30T21:23:00+03:00;42226.89;39559.31;8.3;8.3;0.0;22.6;40.3;0.0;0.0;0.0;0.0
Finland;61.92;25.76;2025-02-02;71;-1.4;-5.2;-6.3;-10.0;2025-02-02T11:38:00+03:00;2025-02-02T19:22:00+03:00;27844.59;0.0;0.75;0.8;3.0;16.8;34.9;0.3;0.0;0.0;0.21
Fiji;-16.62;179.38;2025-01-29;95;23.5;20.4;27.7;23.9;2025-01-29T08:49:00+03:00;2025-01-29T21:41:00+03:00;46302.61;8595.89;7.95;9.8;22.0;9.0;46.4;50.6;17.0;33.6;0.0
Fiji;-16.62;179.38;2025-01-31;61;24.4;21.0;28.5;24.4;2025-01-31T08:50:00+03:00;2025-01-31T21:40:00+03:00;46214.61;0.0;9.1;9.9;5.0;8.4;37.4;1.8;1.7;0.0;0.0
Falkland Islands [Islas Malvinas];-51.75;-59.38;2025-01-28;3;18.6;11.7;14.3;7.8;2025-01-28T08:26:00+03:00;2025-01-28T23:54:00+03:00;55656.8;50248.2;7.2;7.25;0.0;34.1;56.2;0.0;0.0;0.0;0.0
Falkland Islands [Islas Malvinas];-51.75;-59.38;2025-01-30;3;23.1;12.9;20.6;10.5;2025-01-30T08:30:00+03:00;2025-01-30T23:51:00+03:00;55252.36;50552.66;6.15;7.3;0.0;32.8;54.0;0.0;0.0;0.0;0.0
Falkland Islands [Islas Malvinas];-51.75;-59.38;2025-01-31;61;12.5;9.2;10.3;4.5;2025-01-31T08:32:00+03:00;2025-01-31T23:49:00+03:00;55044.73;11276.54;6.55;7.15;5.0;27.3;44.3;2.9;2.8;0.0;0.0
Micronesia;7.38;150.5;2025-01-31;3;29.1;27.9;30.6;27.7;2025-01-31T09:17:00+03:00;2025-01-31T21:05:00+03:00;42509.54;35204.35;8.5;8.5;4.0;39.3;52.9;0.4;0.0;0.4;0.0
Faroe Islands;61.88;-6.89;2025-02-04;75;3.6;0.3;0.8;-5.7;2025-02-04T11:43:00+03:00;2025-02-04T19:39:00+03:00;28582.06;22085.51;0.35;0.65;23.0;27.9;69.5;11.7;6.15;0.0;3.88
Gabon;-0.75;11.62;2025-02-02;45;31.3;21.3;36.5;25.0;2025-02-02T09:22:00+03:00;2025-02-02T21:31:00+03:00;43725.5;40440.18;8.25;9.25;0.0;6.9;19.1;0.0;0.0;0.0;0.0
Gabon;-0.75;11.62;2025-02-04;45;30.0;21.7;34.6;25.9;2025-02-04T09:23:00+03:00;2025-02-04T21:31:00+03:00;43720.13;38398.55;7.6;8.75;0.0;5.6;13.7;0.0;0.0;0.0;0.0
Grenada;12.12;-61.62;2025-02-01;80;27.9;25.2;31.7;27.9;2025-02-01T09:31:00+03:00;2025-02-01T21:08:00+03:00;41830.64;38909.05;7.95;7.95;15.0;18.9;59.4;3.0;0.0;3.0;0.0
Grenada;12.12;-61.62;2025-02-02;80;28.1;24.9;31.9;27.9;2025-02-02T09:31:00+03:00;2025-02-02T21:09:00+03:00;41862.94;39182.57;7.95;7.95;12.0;16.6;53.3;1.2;0.0;1.2;0.0
Georgia;42.31;43.31;2025-01-30;2;12.1;2.4;9.2;-0.6;2025-01-30T11:22:00+03:00;2025-01-30T21:17:00+03:00;35748.87;31691.47;3.15;3.15;0.0;4.8;8.3;0.0;0.0;0.0;0.0
Georgia;42.31;43.31;2025-02-03;3;11.5;0.8;6.2;-2.5;2025-02-03T11:17:00+03:00;2025-02-03T21:23:00+03:00;36313.98;33040.91;2.75;3.0;0.0;22.1;39.2;0.0;0.0;0.0;0.0
French Guiana;3.75;-53.0;2025-01-28;95;26.3;22.2;30.7;26.5;2025-01-28T09:46:00+03:00;2025-01-28T21:43:00+03:00;43034.79;15735.32;7.85;8.55;14.0;10.1;31.7;13.2;0.0;13.2;0.0
French Guiana;3.75;-53.0;2025-01-29;95;26.7;22.3;31.0;26.8;2025-01-29T09:46:00+03:00;2025-01-29T21:43:00+03:00;43043.43;24266.64;6.6;8.5;15.0;10.6;31.7;7.9;0.0;7.9;0.0
French Guiana;3.75;-53.0;2025-02-02;3;30.2;20.4;33.7;23.6;2025-02-02T09:46:00+03:00;2025-02-02T21:44:00+03:00;43079.91;40677.54;8.5;8.7;0.0;9.7;25.9;0.0;0.0;0.0;0.0
Guernsey;49.47;-2.59;2025-01-30;61;9.0;6.4;4.8;-1.3;2025-01-30T10:44:00+03:00;2025-01-30T20:02:00+03:00;33487.57;28262.84;2.1;2.1;2.0;49.8;69.5;3.8;3.7;0.0;0.0
Guernsey;49.47;-2.59;2025-02-01;51;10.8;9.1;7.1;3.1;2025-02-01T10:41:00+03:00;2025-02-01T20:06:00+03:00;33855.31;25856.7;2.2;2.2;1.0;34.3;46.1;0.2;0.2;0.0;0.0
