country;latitude;longitude;time;weather_code;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;daylight_duration;sunshine_duration;uv_index_max;uv_index_clear_sky_max;precipitation_hours;wind_speed_10m_max;wind_gusts_10m_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum
Jamaica;18.0;-77.25;2025-02-03;3;31.1;20.2;33.3;22.3;2025-02-03T09:40:00+03:00;2025-02-03T21:04:00+03:00;41021.52;37943.62;6.7;6.8;0.0;13.8;30.2;0.0;0.0;0.0;0.0
Jordan;30.56;36.25;2025-01-30;0;16.4;5.7;11.8;2.8;2025-01-30T10:27:00+03:00;2025-01-30T21:09:00+03:00;38525.77;35110.69;5.0;5.0;0.0;17.9;27.7;0.0;0.0;0.0;0.0
Jordan;30.56;36.25;2025-01-31;1;15.8;5.3;11.6;2.0;2025-01-31T10:26:00+03:00;2025-01-31T21:10:00+03:00;38613.03;35165.7;5.05;5.05;0.0;23.2;34.9;0.0;0.0;0.0;0.0
Jordan;30.56;36.25;2025-02-01;3;14.6;5.4;11.1;2.9;2025-02-01T10:25:00+03:00;2025-02-01T21:11:00+03:00;38701.94;35570.74;5.05;5.05;0.0;14.8;22.7;0.0;0.0;0.0;0.0
Jordan;30.56;36.25;2025-02-03;3;18.9;7.0;13.3;2.8;2025-02-03T10:24:00+03:00;2025-02-03T21:12:00+03:00;38884.28;36233.66;4.6;4.8;0.0;22.3;32.8;0.0;0.0;0.0;0.0
Jordan;30.56;36.25;2025-02-04;3;17.9;9.4;12.8;6.5;2025-02-04T10:24:00+03:00;2025-02-04T21:13:00+03:00;38977.48;36391.2;4.85;4.85;0.0;24.3;37.4;0.0;0.0;0.0;0.0
Japan;36.2;138.25;2025-02-01;3;0.7;-7.4;-3.4;-11.3;2025-02-01T09:48:00+03:00;2025-02-01T20:12:00+03:00;37498.01;32046.39;3.45;4.0;0.0;9.7;30.2;0.0;0.0;0.0;0.0
Kenya;0.0;37.88;2025-01-29;96;30.7;20.8;33.9;21.6;2025-01-29T09:38:00+03:00;2025-01-29T21:45:00+03:00;43620.19;37364.57;8.4;9.15;7.0;14.4;30.6;4.4;0.0;4.5;0.0
Kyrgyzstan;41.38;74.62;2025-02-04;3;-4.8;-10.5;-8.8;-14.7;2025-02-04T11:09:00+03:00;2025-02-04T21:21:00+03:00;36681.62;29910.14;4.15;4.3;0.0;5.9;10.4;0.0;0.0;0.0;0.0
Cambodia;12.62;105.0;2025-02-03;2;36.3;24.5;40.7;28.1;2025-02-03T09:25:00+03:00;2025-02-03T21:02:00+03:00;41807.06;38647.88;6.4;7.5;0.0;11.2;27.0;0.0;0.0;0.0;0.0
Kiribati;-3.38;-168.75;2025-02-02;2;27.2;26.5;30.3;27.9;2025-02-02T09:21:00+03:00;2025-02-02T21:36:00+03:00;44099.54;40959.78;9.0;9.0;2.0;31.7;41.4;0.2;0.0;0.2;0.0
Comoros;-11.88;43.88;2025-01-29;80;29.0;28.4;33.3;30.7;2025-01-29T08:58:00+03:00;2025-01-29T21:36:00+03:00;45492.21;42007.01;9.7;9.7;3.0;32.7;43.6;0.5;0.0;0.5;0.0
Comoros;-11.88;43.88;2025-01-30;80;28.8;28.0;31.6;30.2;2025-01-30T08:58:00+03:00;2025-01-30T21:36:00+03:00;45461.2;42042.02;9.7;9.75;9.0;35.8;47.9;2.1;0.0;2.1;0.0
Comoros;-11.88;43.88;2025-02-01;95;28.9;27.5;33.4;30.9;2025-02-01T08:59:00+03:00;2025-02-01T21:36:00+03:00;45397.29;1270.68;5.85;9.7;21.0;25.0;34.2;36.3;0.0;36.3;0.0
North Korea;40.35;127.5;2025-01-30;0;-10.2;-16.8;-18.0;-28.5;2025-01-30T10:41:00+03:00;2025-01-30T20:45:00+03:00;36252.91;31788.52;3.3;3.3;0.0;53.9;78.1;0.0;0.0;0.0;0.0
Kuwait;29.25;47.5;2025-01-30;0;18.8;9.3;13.0;5.0;2025-01-30T09:40:00+03:00;2025-01-30T20:26:00+03:00;38788.3;35717.58;4.85;4.85;0.0;25.8;40.3;0.0;0.0;0.0;0.0
Kuwait;29.25;47.5;2025-02-01;0;19.3;7.9;15.7;4.1;2025-02-01T09:38:00+03:00;2025-02-01T20:28:00+03:00;38955.05;36234.23;4.75;4.75;0.0;11.3;19.4;0.0;0.0;0.0;0.0
Kuwait;29.25;47.5;2025-02-02;0;19.4;8.3;13.8;3.6;2025-02-02T09:38:00+03:00;2025-02-02T20:28:00+03:00;39040.69;36287.36;4.9;4.9;0.0;24.2;37.4;0.0;0.0;0.0;0.0
Cayman Islands;19.5;-80.62;2025-01-28;80;26.5;25.2;27.4;25.2;2025-01-28T09:58:00+03:00;2025-01-28T21:12:00+03:00;40475.73;36917.85;5.85;6.9;6.0;39.3;53.3;0.8;0.0;0.8;0.0
Cayman Islands;19.5;-80.62;2025-01-30;3;26.8;25.1;27.1;24.1;2025-01-30T09:57:00+03:00;2025-01-30T21:13:00+03:00;40576.36;37660.39;4.5;6.9;2.0;40.3;55.1;0.2;0.0;0.2;0.0
Cayman Islands;19.5;-80.62;2025-02-01;2;26.3;25.9;29.9;27.4;2025-02-01T09:57:00+03:00;2025-02-01T21:15:00+03:00;40681.19;38150.05;7.0;7.0;0.0;24.6;32.4;0.0;0.0;0.0;0.0
Cayman Islands;19.5;-80.62;2025-02-02;3;26.2;25.6;29.1;27.3;2025-02-02T09:56:00+03:00;2025-02-02T21:15:00+03:00;40735.01;38189.55;4.45;7.0;9.0;26.9;34.9;1.2;0.0;1.2;0.0
Laos;20.0;102.5;2025-02-04;3;24.2;16.1;24.8;15.8;2025-02-04T09:44:00+03:00;2025-02-04T21:03:00+03:00;40739.9;35874.86;6.45;6.5;0.0;9.6;23.4;0.0;0.0;0.0;0.0
Lebanon;33.88;35.94;2025-01-31;2;10.6;3.0;5.8;-0.9;2025-01-31T09:33:00+03:00;2025-01-31T20:05:00+03:00;37932.8;34797.07;4.65;4.65;0.0;18.2;36.7;0.0;0.0;0.0;0.0
Lebanon;33.88;35.94;2025-02-03;3;13.2;4.6;9.1;0.2;2025-02-03T09:31:00+03:00;2025-02-03T20:08:00+03:00;38242.94;883.98;4.3;4.6;0.0;7.1;12.6;0.0;0.0;0.0;0.0
Lebanon;33.88;35.94;2025-02-04;2;13.2;4.4;9.1;0.5;2025-02-04T09:30:00+03:00;2025-02-04T20:09:00+03:00;38349.45;35230.35;4.6;4.6;0.0;16.8;30.6;0.0;0.0;0.0;0.0
Liechtenstein;47.14;9.56;2025-02-01;71;-3.1;-5.5;-6.0;-9.0;2025-02-01T10:46:00+03:00;2025-02-01T20:23:00+03:00;34632.05;29842.16;2.8;2.8;2.0;3.2;12.6;0.3;0.0;0.0;0.21
Sri Lanka;7.88;80.75;2025-01-31;80;28.9;22.8;32.7;27.7;2025-01-31T09:26:00+03:00;2025-01-31T21:14:00+03:00;42437.33;33232.89;8.1;8.35;8.0;13.3;37.4;1.5;0.0;1.4;0.0
Sri Lanka;7.88;80.75;2025-02-02;3;30.6;23.0;34.3;27.3;2025-02-02T09:26:00+03:00;2025-02-02T21:14:00+03:00;42477.78;39946.21;7.9;8.4;0.0;12.6;36.4;0.0;0.0;0.0;0.0
Sri Lanka;7.88;80.75;2025-02-04;3;29.3;20.1;32.0;23.2;2025-02-04T09:26:00+03:00;2025-02-04T21:15:00+03:00;42519.6;39698.14;7.65;8.05;0.0;10.9;31.3;0.0;0.0;0.0;0.0
Lesotho;-29.62;28.25;2025-01-29;3;24.5;11.5;22.7;10.3;2025-01-29T08:33:00+03:00;2025-01-29T22:06:00+03:00;48748.07;45705.57;9.15;10.1;1.0;18.9;35.6;0.2;0.0;0.2;0.0
Lesotho;-29.62;28.25;2025-02-01;2;26.8;10.4;22.8;8.0;2025-02-01T08:36:00+03:00;2025-02-01T22:04:00+03:00;48490.12;45607.48;10.05;10.05;0.0;33.2;66.2;0.0;0.0;0.0;0.0
Lithuania;55.17;23.89;2025-02-04;3;-0.2;-3.2;-4.0;-7.6;2025-02-04T11:09:00+03:00;2025-02-04T20:06:00+03:00;32238.57;26320.47;1.55;1.6;0.0;9.8;25.9;0.0;0.0;0.0;0.0
Libya;26.3;17.2;2025-01-30;3;22.6;10.9;18.9;8.1;2025-01-30T10:36:00+03:00;2025-01-30T21:32:00+03:00;39357.4;35978.08;5.15;5.15;0.0;23.2;34.9;0.0;0.0;0.0;0.0
Libya;26.3;17.2;2025-01-31;3;21.6;11.2;14.2;6.1;2025-01-31T10:35:00+03:00;2025-01-31T21:33:00+03:00;39430.05;36000.0;5.15;5.25;0.0;38.5;57.6;0.0;0.0;0.0;0.0
