Origin;Transport Mode;Indicator;Footnoote;Missing value notes;Value
Afghanistan;Other modes;Transport_expenditure_US_Value;Experimental;;129249.28
Albania;Railway;Transport_expenditure_US_Value;Experimental;;14725.96
American Samoa;All modes;Transport_expenditure_US_Value;Experimental;;2366.94
Andorra;Air;Transport_expenditure_US_Value;Experimental;;8239.02
Andorra;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Anguilla;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Antigua and Barbuda;Other modes;Transport_expenditure_US_Value;Experimental;;3.71
Antigua and Barbuda;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Argentina;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Armenia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;32167.22
Armenia;Air;Transport_expenditure_US_Value;Experimental;;4285.62
Aruba;All modes;Transport_expenditure_US_Value;Experimental;;311787.15
Aruba;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Australia;All modes;Transport_expenditure_US_Value;Experimental;;117707825.19
Austria;Air;Transport_expenditure_US_Value;Experimental;;4609191.48
Austria;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Bahamas;Other modes;Transport_expenditure_US_Value;Experimental;;33974.57
Bahamas;Sea;Transport_expenditure_US_Value;Experimental;;2220932.71
Bangladesh;Sea;Transport_expenditure_US_Value;Experimental;;1806049.27
Belarus;All modes;Transport_expenditure_US_Value;Experimental;;593599.13
Belarus;Other modes;Transport_expenditure_US_Value;Experimental;;43789.44
Belarus;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Belgium;All modes;Transport_expenditure_US_Value;Experimental;;68275436.93
Belize;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;3657.16
Belize;Sea;Transport_expenditure_US_Value;Experimental;;3431.14
Benin;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;225859.11
Benin;Road;Transport_expenditure_US_Value;Experimental;;174932.72
Bermuda;Other modes;Transport_expenditure_US_Value;Experimental;;320.47
Bermuda;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4539.1
Bolivia (Plurinational State of);Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;24626.36
Bolivia (Plurinational State of);Air;Transport_expenditure_US_Value;Experimental;;5086.38
Bosnia and Herzegovina;All modes;Transport_expenditure_US_Value;Experimental;;1973262.91
Botswana;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;30.24
Botswana;Sea;Transport_expenditure_US_Value;Experimental;;13.05
Bouvet Island;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
British Indian Ocean Territory;Non-identified mode;Transport_expenditure_US_Value;Experimental;;5894.47
British Virgin Islands;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Brunei Darussalam;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;27025.38
Cabo Verde;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;61.88
Cameroon;Sea;Transport_expenditure_US_Value;Experimental;;98404.9
Cameroon;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Canada;All modes;Transport_expenditure_US_Value;Experimental;;50688404.79
Canada;Air;Transport_expenditure_US_Value;Experimental;;15574675.9
Cayman Islands;Sea;Transport_expenditure_US_Value;Experimental;;56.5
Central African Republic;Air;Transport_expenditure_US_Value;Experimental;;568.81
Central African Republic;Road;Transport_expenditure_US_Value;Experimental;;439.14
Central African Republic;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Chad;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;1538568.58
Chad;Air;Transport_expenditure_US_Value;Experimental;;75391.52
China;Sea;Transport_expenditure_US_Value;Experimental;;772542151.07
China;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
China, Hong Kong SAR;Road;Transport_expenditure_US_Value;Experimental;;3189999.9
China, Macao SAR;All modes;Transport_expenditure_US_Value;Experimental;;52889.93
China, Macao SAR;Other modes;Transport_expenditure_US_Value;Experimental;;3356.15
China, Taiwan Province of;All modes;Transport_expenditure_US_Value;Experimental;;104915190.64
China, Taiwan Province of;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;95706782.06
Cocos (Keeling) Islands;All modes;Transport_expenditure_US_Value;Experimental;;168.12
Colombia;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Comoros;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Congo, Dem. Rep. of the;Other modes;Transport_expenditure_US_Value;Experimental;;311288.11
Congo, Dem. Rep. of the;Air;Transport_expenditure_US_Value;Experimental;;599814.87
Costa Rica;Other modes;Transport_expenditure_US_Value;Experimental;;2786087.93
Cote d'Ivoire;Road;Transport_expenditure_US_Value;Experimental;;11945.65
Croatia;All modes;Transport_expenditure_US_Value;Experimental;;2749737.98
Croatia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;2576866.64
Croatia;Road;Transport_expenditure_US_Value;Experimental;;415587.3
Cuba;Other modes;Transport_expenditure_US_Value;Experimental;;1450.93
Cuba;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;33602.18
Curacao;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;52328.58
Cyprus;All modes;Transport_expenditure_US_Value;Experimental;;2785248.98
Cyprus;Sea;Transport_expenditure_US_Value;Experimental;;1275890.78
Czechia;Air;Transport_expenditure_US_Value;Experimental;;7715601.67
Czechia;Railway;Transport_expenditure_US_Value;Experimental;;1701673.33
Czechia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Denmark;Railway;Transport_expenditure_US_Value;Experimental;;2213679.28
Denmark;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Djibouti;Other modes;Transport_expenditure_US_Value;Experimental;;207341.18
Djibouti;Road;Transport_expenditure_US_Value;Experimental;;19079.05
Dominican Republic;Other modes;Transport_expenditure_US_Value;Experimental;;50544.44
Ecuador;Air;Transport_expenditure_US_Value;Experimental;;5843299.88
Egypt;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;280089228.57
Eritrea;Other modes;Transport_expenditure_US_Value;Experimental;;4.9
Eritrea;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;18.72
Eritrea;Sea;Transport_expenditure_US_Value;Experimental;;3.96
Eritrea;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Estonia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4402598.95
Estonia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Ethiopia;Sea;Transport_expenditure_US_Value;Experimental;;206630.99
Ethiopia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Falkland Islands (Malvinas);All modes;Transport_expenditure_US_Value;Experimental;;2187.89
Falkland Islands (Malvinas);Other modes;Transport_expenditure_US_Value;Experimental;;1414.58
Faroe Islands;Other modes;Transport_expenditure_US_Value;Experimental;;3.3
Fiji;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;194173.74
Finland;All modes;Transport_expenditure_US_Value;Experimental;;27107012.85
Finland;Railway;Transport_expenditure_US_Value;Experimental;;190552.35
France;Road;Transport_expenditure_US_Value;Experimental;;21841822.32
French Southern Territories;All modes;Transport_expenditure_US_Value;Experimental;;2020.32
Gabon;All modes;Transport_expenditure_US_Value;Experimental;;113715.5
Gabon;Sea;Transport_expenditure_US_Value;Experimental;;75685.8
Gambia;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Georgia;Sea;Transport_expenditure_US_Value;Experimental;;17335682.41
Georgia;Railway;Transport_expenditure_US_Value;Experimental;;755534.64
Georgia;Road;Transport_expenditure_US_Value;Experimental;;2765762.25
Georgia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Germany;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;426173844.66
Ghana;Road;Transport_expenditure_US_Value;Experimental;;11187.66
Gibraltar;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Greece;All modes;Transport_expenditure_US_Value;Experimental;;39120168.7
Greece;Other modes;Transport_expenditure_US_Value;Experimental;;1854994.19
Greece;Sea;Transport_expenditure_US_Value;Experimental;;25184853.28
Greenland;All modes;Transport_expenditure_US_Value;Experimental;;279.84
Grenada;Sea;Transport_expenditure_US_Value;Experimental;;2402.61
Guinea;Sea;Transport_expenditure_US_Value;Experimental;;35.81
Guinea;Road;Transport_expenditure_US_Value;Experimental;;52.58
Guyana;Air;Transport_expenditure_US_Value;Experimental;;2444.49
Guyana;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Haiti;Sea;Transport_expenditure_US_Value;Experimental;;2597.22
Holy See;All modes;Transport_expenditure_US_Value;Experimental;;3041.47
Hungary;Sea;Transport_expenditure_US_Value;Experimental;;6839177.2
Hungary;Railway;Transport_expenditure_US_Value;Experimental;;492869.82
Hungary;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Iceland;Sea;Transport_expenditure_US_Value;Experimental;;44241.58
Iceland;Road;Transport_expenditure_US_Value;Experimental;;10340.77
India;All modes;Transport_expenditure_US_Value;Experimental;;560995676.52
India;Railway;Transport_expenditure_US_Value;Experimental;;56298325.39
Iraq;All modes;Transport_expenditure_US_Value;Experimental;;1188479.68
Ireland;Other modes;Transport_expenditure_US_Value;Experimental;;1626604.2
Ireland;Air;Transport_expenditure_US_Value;Experimental;;8668013.3
Italy;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Jamaica;All modes;Transport_expenditure_US_Value;Experimental;;1683.46
Jamaica;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Jordan;All modes;Transport_expenditure_US_Value;Experimental;;121454347.23
Jordan;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;110987101.84
Kazakhstan;All modes;Transport_expenditure_US_Value;Experimental;;1026469.49
Kazakhstan;Other modes;Transport_expenditure_US_Value;Experimental;;33036.46
Kenya;All modes;Transport_expenditure_US_Value;Experimental;;6133217.95
Lao People's Dem. Rep.;Air;Transport_expenditure_US_Value;Experimental;;29217.97
Lebanon;Air;Transport_expenditure_US_Value;Experimental;;851602.22
Liberia;Other modes;Transport_expenditure_US_Value;Experimental;;20.08
Liberia;Railway;Transport_expenditure_US_Value;Experimental;;3.35
Liberia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Libya;All modes;Transport_expenditure_US_Value;Experimental;;8310.81
Libya;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;7905.91
Libya;Air;Transport_expenditure_US_Value;Experimental;;194.06
Libya;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Luxembourg;Railway;Transport_expenditure_US_Value;Experimental;;35323.23
Malaysia;All modes;Transport_expenditure_US_Value;Experimental;;119721981.95
Malaysia;Other modes;Transport_expenditure_US_Value;Experimental;;19842259.32
Mali;Railway;Transport_expenditure_US_Value;Experimental;;0.0
Malta;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Mauritania;Road;Transport_expenditure_US_Value;Experimental;;5264.4
Moldova, Republic of;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;504704.2
Mongolia;Sea;Transport_expenditure_US_Value;Experimental;;284.8
Montenegro;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;579.24
Morocco;Railway;Transport_expenditure_US_Value;Experimental;;1189395.59
Mozambique;Air;Transport_expenditure_US_Value;Experimental;;10768.25
Mozambique;Road;Transport_expenditure_US_Value;Experimental;;134973.44
Mozambique;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Myanmar;Air;Transport_expenditure_US_Value;Experimental;;365084.26
Namibia;Air;Transport_expenditure_US_Value;Experimental;;9577.09
Namibia;Road;Transport_expenditure_US_Value;Experimental;;87512.18
Nauru;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Nepal;Sea;Transport_expenditure_US_Value;Experimental;;600.38
Nepal;Road;Transport_expenditure_US_Value;Experimental;;1970.34
Nepal;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Nicaragua;Other modes;Transport_expenditure_US_Value;Experimental;;36374.42
Nicaragua;Air;Transport_expenditure_US_Value;Experimental;;17514.87
Niger;Air;Transport_expenditure_US_Value;Experimental;;5297.06
Niger;Sea;Transport_expenditure_US_Value;Experimental;;906.51
Niger;Road;Transport_expenditure_US_Value;Experimental;;796.82
Niger;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Nigeria;Sea;Transport_expenditure_US_Value;Experimental;;458886.85
North Macedonia;Road;Transport_expenditure_US_Value;Experimental;;507299.82
Norway;All modes;Transport_expenditure_US_Value;Experimental;;18681413.67
Norway;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;16842943.15
Norway;Sea;Transport_expenditure_US_Value;Experimental;;4458913.96
Norway;Railway;Transport_expenditure_US_Value;Experimental;;1339169.22
Oman;Other modes;Transport_expenditure_US_Value;Experimental;;5330267.44
Oman;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;94790476.46
Oman;Road;Transport_expenditure_US_Value;Experimental;;34283922.54
Pakistan;All modes;Transport_expenditure_US_Value;Experimental;;22634722.42
Pakistan;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;20688391.68
Pakistan;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Panama;Other modes;Transport_expenditure_US_Value;Experimental;;1317558.89
Paraguay;Other modes;Transport_expenditure_US_Value;Experimental;;206226.17
Paraguay;Sea;Transport_expenditure_US_Value;Experimental;;1099666.38
Peru;Air;Transport_expenditure_US_Value;Experimental;;266112.65
Peru;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Pitcairn;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Poland;All modes;Transport_expenditure_US_Value;Experimental;;54382847.1
Poland;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;51464449.04
Portugal;Other modes;Transport_expenditure_US_Value;Experimental;;633529.17
Romania;Road;Transport_expenditure_US_Value;Experimental;;6732949.43
Romania;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Rwanda;Sea;Transport_expenditure_US_Value;Experimental;;738.54
Saint Barthelemy;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Saint Helena;All modes;Transport_expenditure_US_Value;Experimental;;4637.4
Saint Helena;Sea;Transport_expenditure_US_Value;Experimental;;4359.16
Saint Kitts and Nevis;Other modes;Transport_expenditure_US_Value;Experimental;;65.86
Saint Vincent and the Grenadines;All modes;Transport_expenditure_US_Value;Experimental;;265635.87
Saint Vincent and the Grenadines;Air;Transport_expenditure_US_Value;Experimental;;25640.17
Samoa;All modes;Transport_expenditure_US_Value;Experimental;;356.13
San Marino;Other modes;Transport_expenditure_US_Value;Experimental;;3823.15
San Marino;Sea;Transport_expenditure_US_Value;Experimental;;46632.23
Sao Tome and Principe;Other modes;Transport_expenditure_US_Value;Experimental;;12.1
Sao Tome and Principe;Air;Transport_expenditure_US_Value;Experimental;;417.76
Senegal;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;90039.0
Senegal;Sea;Transport_expenditure_US_Value;Experimental;;80456.37
Serbia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;2735571.41
Seychelles;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;819.4
Sierra Leone;All modes;Transport_expenditure_US_Value;Experimental;;25913.84
Sierra Leone;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Singapore;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Slovakia;Air;Transport_expenditure_US_Value;Experimental;;1866566.77
Slovenia;Road;Transport_expenditure_US_Value;Experimental;;1042982.43
Slovenia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Solomon Islands;Other modes;Transport_expenditure_US_Value;Experimental;;6.84
Solomon Islands;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Somalia;All modes;Transport_expenditure_US_Value;Experimental;;34068538.44
Somalia;Other modes;Transport_expenditure_US_Value;Experimental;;1240571.71
Somalia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;32827966.73
Somalia;Road;Transport_expenditure_US_Value;Experimental;;185545.01
South Africa;All modes;Transport_expenditure_US_Value;Experimental;;66488455.93
South Africa;Air;Transport_expenditure_US_Value;Experimental;;10178558.65
South Sudan;Air;Transport_expenditure_US_Value;Experimental;;36.4
Spain;Other modes;Transport_expenditure_US_Value;Experimental;;13241738.11
Spain;Air;Transport_expenditure_US_Value;Experimental;;24340850.9
Sri Lanka;All modes;Transport_expenditure_US_Value;Experimental;;5560646.27
Sri Lanka;Road;Transport_expenditure_US_Value;Experimental;;728529.47
State of Palestine;All modes;Transport_expenditure_US_Value;Experimental;;1737722.03
State of Palestine;Air;Transport_expenditure_US_Value;Experimental;;45015.72
State of Palestine;Sea;Transport_expenditure_US_Value;Experimental;;298583.26
Sudan;All modes;Transport_expenditure_US_Value;Experimental;;173794621.09
Sudan;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;165964488.16
Sudan;Railway;Transport_expenditure_US_Value;Experimental;;588789.36
Sudan;Road;Transport_expenditure_US_Value;Experimental;;7071498.07
Sweden;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;72674965.06
Switzerland, Liechtenstein;Sea;Transport_expenditure_US_Value;Experimental;;10253208.3
Switzerland, Liechtenstein;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Syrian Arab Republic;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;31518492.57
Syrian Arab Republic;Railway;Transport_expenditure_US_Value;Experimental;;1664328.76
Tajikistan;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;97.62
Tajikistan;Railway;Transport_expenditure_US_Value;Experimental;;0.11
Tanzania, United Republic of;All modes;Transport_expenditure_US_Value;Experimental;;781995.47
Tanzania, United Republic of;Other modes;Transport_expenditure_US_Value;Experimental;;272415.68
Thailand;All modes;Transport_expenditure_US_Value;Experimental;;171160145.23
Thailand;Road;Transport_expenditure_US_Value;Experimental;;16475103.27
Togo;All modes;Transport_expenditure_US_Value;Experimental;;85648.43
Togo;Other modes;Transport_expenditure_US_Value;Experimental;;85306.0
Togo;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;342.43
Tokelau;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Trinidad and Tobago;All modes;Transport_expenditure_US_Value;Experimental;;31085.27
Trinidad and Tobago;Sea;Transport_expenditure_US_Value;Experimental;;29009.04
Tunisia;Other modes;Transport_expenditure_US_Value;Experimental;;329455.64
Turkiye;Road;Transport_expenditure_US_Value;Experimental;;1886768.32
Turkmenistan;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;1891.24
Turkmenistan;Road;Transport_expenditure_US_Value;Experimental;;236.45
Turks and Caicos Islands;Sea;Transport_expenditure_US_Value;Experimental;;27.38
Uganda;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;251255.17
Uganda;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Ukraine;All modes;Transport_expenditure_US_Value;Experimental;;60901434.68
Ukraine;Sea;Transport_expenditure_US_Value;Experimental;;33629024.93
United Arab Emirates;All modes;Transport_expenditure_US_Value;Experimental;;515525119.17
United States Minor Outlying Islands;Non-identified mode;Transport_expenditure_US_Value;Experimental;;2341.38
United States of America;All modes;Transport_expenditure_US_Value;Experimental;;988503234.77
United States of America;Sea;Transport_expenditure_US_Value;Experimental;;579535237.56
Uruguay;Sea;Transport_expenditure_US_Value;Experimental;;398357.76
Uzbekistan;Other modes;Transport_expenditure_US_Value;Experimental;;164365.8
Vanuatu;All modes;Transport_expenditure_US_Value;Experimental;;187.41
Venezuela (Bolivarian Rep. of);All modes;Transport_expenditure_US_Value;Experimental;;81152.11
Venezuela (Bolivarian Rep. of);Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;77442.98
Viet Nam;Sea;Transport_expenditure_US_Value;Experimental;;32894802.45
Viet Nam;Road;Transport_expenditure_US_Value;Experimental;;7708779.64
Wallis and Futuna Islands;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Western Sahara;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4.28
Western Sahara;Road;Transport_expenditure_US_Value;Experimental;;0.35
Western Sahara;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Yemen;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Zambia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;333606.77
Zambia;Road;Transport_expenditure_US_Value;Experimental;;203237.24
World;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;8998877894.45
Africa;All modes;Transport_expenditure_US_Value;Experimental;;633110680.33
Africa;Non-identified mode;Transport_expenditure_US_Value;Experimental;;82370.54
Northern Africa;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;460670577.98
Sub-Saharan Africa;Non-identified mode;Transport_expenditure_US_Value;Experimental;;82370.54
Sub-Saharan Africa;Other modes;Transport_expenditure_US_Value;Experimental;;11744566.91
Sub-Saharan Africa;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;134099959.48
Sub-Saharan Africa;Railway;Transport_expenditure_US_Value;Experimental;;6082281.71
Sub-Saharan Africa;Road;Transport_expenditure_US_Value;Experimental;;24631865.34
Eastern Africa;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;63219220.19
Eastern Africa;Air;Transport_expenditure_US_Value;Experimental;;1460494.68
Eastern Africa;Sea;Transport_expenditure_US_Value;Experimental;;54130199.07
Eastern Africa;Railway;Transport_expenditure_US_Value;Experimental;;2059051.21
Middle Africa;Air;Transport_expenditure_US_Value;Experimental;;703809.56
Western Africa;All modes;Transport_expenditure_US_Value;Experimental;;2136488.63
Americas;Sea;Transport_expenditure_US_Value;Experimental;;890292139.55
Latin America and the Caribbean;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;361632881.37
Latin America and the Caribbean;Air;Transport_expenditure_US_Value;Experimental;;77055836.88
Caribbean;Other modes;Transport_expenditure_US_Value;Experimental;;344988.19
Caribbean;Air;Transport_expenditure_US_Value;Experimental;;575737.6
Central America;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;95288196.09
Central America;Sea;Transport_expenditure_US_Value;Experimental;;64990285.67
Asia;All modes;Transport_expenditure_US_Value;Experimental;;5493303381.9
Asia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Central Asia;Other modes;Transport_expenditure_US_Value;Experimental;;199019.39
Central Asia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;2735145.23
Eastern Asia;Air;Transport_expenditure_US_Value;Experimental;;1146622990.56
Eastern Asia;Road;Transport_expenditure_US_Value;Experimental;;458529928.13
Southern Asia;Air;Transport_expenditure_US_Value;Experimental;;80984450.93
Western Asia;Road;Transport_expenditure_US_Value;Experimental;;286930863.88
Eastern Europe;All modes;Transport_expenditure_US_Value;Experimental;;373292306.75
Eastern Europe;Other modes;Transport_expenditure_US_Value;Experimental;;36293173.7
Eastern Europe;Road;Transport_expenditure_US_Value;Experimental;;52769471.93
Northern Europe;Air;Transport_expenditure_US_Value;Experimental;;78152344.72
Southern Europe;Railway;Transport_expenditure_US_Value;Experimental;;26112919.8
Southern Europe;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Other territories;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Northern America and Europe;All modes;Transport_expenditure_US_Value;Experimental;;3169043218.77
Northern America and Europe;Sea;Transport_expenditure_US_Value;Experimental;;1755540805.04
Northern America and Europe;Road;Transport_expenditure_US_Value;Experimental;;337142754.06
Europe, Northern America, Australia and New Zealand;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;3053857100.33
Europe, Northern America, Australia and New Zealand;Railway;Transport_expenditure_US_Value;Experimental;;135498872.13
Central and Southern Asia;All modes;Transport_expenditure_US_Value;Experimental;;602837161.13
Central and Southern Asia;Other modes;Transport_expenditure_US_Value;Experimental;;84528054.23
Central and Southern Asia;Road;Transport_expenditure_US_Value;Experimental;;84280448.59
Eastern and South-Eastern Asia;Air;Transport_expenditure_US_Value;Experimental;;1268293423.75
Western Asia and Northern Africa;All modes;Transport_expenditure_US_Value;Experimental;;1531616663.55
Western Asia and Northern Africa;Railway;Transport_expenditure_US_Value;Experimental;;20680002.13
Western Asia and Northern Africa;Road;Transport_expenditure_US_Value;Experimental;;388398147.56
Developing economies;Air;Transport_expenditure_US_Value;Experimental;;1403760302.71
Developing economies;Sea;Transport_expenditure_US_Value;Experimental;;2699355399.14
Developing economies;Railway;Transport_expenditure_US_Value;Experimental;;203608270.87
Developing economies;Road;Transport_expenditure_US_Value;Experimental;;999434933.48
Developing economies: Africa;Other modes;Transport_expenditure_US_Value;Experimental;;38257772.33
Developing economies: Africa;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Developing economies: Americas;Non-identified mode;Transport_expenditure_US_Value;Experimental;;246.79
Developing economies: Asia and Oceania;All modes;Transport_expenditure_US_Value;Experimental;;4773574787.44
Developing economies: Asia and Oceania;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4349755487.36
Developing economies: Asia and Oceania;Air;Transport_expenditure_US_Value;Experimental;;1297435310.91
Developing economies: Asia and Oceania;Railway;Transport_expenditure_US_Value;Experimental;;184123100.08
Developing economies: Asia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;4347998748.08
Developed economies;Non-identified mode;Transport_expenditure_US_Value;Experimental;;6523.77
Developed economies: Americas;Multimodal adjustment;Transport_expenditure_US_Value;;Not available or not separately reported;
Developed economies: Asia and Oceania;Other modes;Transport_expenditure_US_Value;Experimental;;95901674.29
Developed economies: Asia and Oceania;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Developed economies: Asia;Subtotal: air, sea, rail, road;Transport_expenditure_US_Value;Experimental;;638860259.98
Developed economies: Asia;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Developed economies: Europe;Railway;Transport_expenditure_US_Value;Experimental;;135498872.13
Developed economies: Europe;Multimodal adjustment;Transport_expenditure_US_Value;Absolute zero;;0.0
Developing economies excluding China;Air;Transport_expenditure_US_Value;Experimental;;451615651.1
Developing economies excluding China;Sea;Transport_expenditure_US_Value;Experimental;;1926813248.07
Developing economies excluding China;Railway;Transport_expenditure_US_Value;Experimental;;105021967.77
Developing economies excluding China;Road;Transport_expenditure_US_Value;Experimental;;576370593.45
Developing economies excluding LDCs;Non-identified mode;Transport_expenditure_US_Value;Experimental;;84296.39
Developing economies excluding LDCs;Railway;Transport_expenditure_US_Value;Experimental;;199880768.42
LDCs (Least developed countries);All modes;Transport_expenditure_US_Value;Experimental;;278428364.04
